standard,module,type_name,path,leaf_name,range,cardinality,definition
ibpdi,digital-twin,AccessPanel,AccessPanel/AccessPanelId,AccessPanelId,string,optional,Unique identifier either coming from previous system otherwise it needs to be defined
ibpdi,digital-twin,AccessPanel,AccessPanel/ComponentTypeId,ComponentTypeId,,optional,
ibpdi,digital-twin,AccessPanel,AccessPanel/FireRating,FireRating,string,optional,Fire rating
ibpdi,digital-twin,AccessPanel,AccessPanel/FrameMaterial,FrameMaterial,string,optional,Frame material
ibpdi,digital-twin,AccessPanel,AccessPanel/Height,Height,decimal,optional,Height
ibpdi,digital-twin,AccessPanel,AccessPanel/Material,Material,string,optional,Material of access panel
ibpdi,digital-twin,AccessPanel,AccessPanel/Thickness,Thickness,decimal,optional,Thickness
ibpdi,digital-twin,AccessPanel,AccessPanel/Type,Type,string,optional,Access panel type
ibpdi,digital-twin,AccessPanel,AccessPanel/Width,Width,decimal,optional,Width
ibpdi,digital-twin,AirCompressor,AirCompressor/AirCompressorId,AirCompressorId,string,optional,Unique identifier either coming from previous system otherwise it needs to be defined
ibpdi,digital-twin,AirCompressor,AirCompressor/ComponentTypeId,ComponentTypeId,,optional,
ibpdi,digital-twin,AirCompressor,AirCompressor/FreeAirDelivery,FreeAirDelivery,decimal,optional,Free air delivery
ibpdi,digital-twin,AirCompressor,AirCompressor/MotorPower,MotorPower,decimal,optional,Motor power
ibpdi,digital-twin,AirCompressor,AirCompressor/WorkingPressure,WorkingPressure,decimal,optional,WorkingPressure
ibpdi,digital-twin,AirFilter,AirFilter/AirFilterId,AirFilterId,string,optional,Unique identifier either coming from previous system otherwise it needs to be defined
ibpdi,digital-twin,AirFilter,AirFilter/ComponentTypeId,ComponentTypeId,,optional,
ibpdi,digital-twin,AirFilter,AirFilter/FanCommissionDate,FanCommissionDate,dateTime,optional,Fan commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirFilter,AirFilter/FanDriveType,FanDriveType,string,optional,Fan fan drive type
ibpdi,digital-twin,AirFilter,AirFilter/FanDurationLifeYear,FanDurationLifeYear,integer,optional,Fan life span of component in years
ibpdi,digital-twin,AirFilter,AirFilter/FanExpectedEndOfLife,FanExpectedEndOfLife,dateTime,optional,Fan expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirFilter,AirFilter/FanExpectedReplacementCost,FanExpectedReplacementCost,decimal,optional,Fan expected replacement costs
ibpdi,digital-twin,AirFilter,AirFilter/FanInitialCost,FanInitialCost,decimal,optional,Fan initial cost
ibpdi,digital-twin,AirFilter,AirFilter/FanInstallationDate,FanInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirFilter,AirFilter/FanMaintenanceInterval,FanMaintenanceInterval,string,optional,"Fan maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirFilter,AirFilter/FanMaxAirflowRating,FanMaxAirflowRating,decimal,optional,Fan max flow capacity
ibpdi,digital-twin,AirFilter,AirFilter/FanMinAirflowRating,FanMinAirflowRating,decimal,optional,Fan min flow capacity
ibpdi,digital-twin,AirFilter,AirFilter/FanModelNumber,FanModelNumber,string,optional,Model number of fan
ibpdi,digital-twin,AirFilter,AirFilter/FanMotorPower,FanMotorPower,decimal,optional,Fan motor power
ibpdi,digital-twin,AirFilter,AirFilter/FanName,FanName,string,optional,Name of fan
ibpdi,digital-twin,AirFilter,AirFilter/FanNominalAirflow,FanNominalAirflow,decimal,optional,Fan nominal airflow
ibpdi,digital-twin,AirFilter,AirFilter/FanSerialNumber,FanSerialNumber,string,optional,Serial number of fan
ibpdi,digital-twin,AirFilter,AirFilter/FanTagNumber,FanTagNumber,string,optional,Fan tag number
ibpdi,digital-twin,AirFilter,AirFilter/FanTurnoverDate,FanTurnoverDate,dateTime,optional,Fan turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/AirHandlingUnitId,AirHandlingUnitId,string,optional,Unique identifier either coming from previous system otherwise it needs to be defined
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/AirflowModulation,AirflowModulation,string,optional,Airflow modulation
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ComponentTypeId,ComponentTypeId,,optional,
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/DehumidificationMethod,DehumidificationMethod,string,optional,Dehumidification method
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/DischargeDuctworkConfiguration,DischargeDuctworkConfiguration,string,optional,Discharge ductwork configuration
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanCommissionDate,ExhaustFanCommissionDate,dateTime,optional,Exhaust fan commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanDriveType,ExhaustFanDriveType,string,optional,Exhaust fan fan drive type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanDurationLifeYear,ExhaustFanDurationLifeYear,integer,optional,Exhaust fan life span of component in years
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanExpectedEndOfLife,ExhaustFanExpectedEndOfLife,dateTime,optional,Exhaust fan expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanExpectedReplacementCost,ExhaustFanExpectedReplacementCost,decimal,optional,Exhaust fan expected replacement costs
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanInitialCost,ExhaustFanInitialCost,decimal,optional,Exhaust fan initial cost
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanInstallationDate,ExhaustFanInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanMaintenanceInterval,ExhaustFanMaintenanceInterval,string,optional,"Exhaust fan maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanMaxAirflowRating,ExhaustFanMaxAirflowRating,decimal,optional,Exhaust fan max flow capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanMinAirflowRating,ExhaustFanMinAirflowRating,decimal,optional,Exhaust fan min flow capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanModelNumber,ExhaustFanModelNumber,string,optional,Model number of exhaust fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanMotorPower,ExhaustFanMotorPower,decimal,optional,Exhaust fan motor power
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanName,ExhaustFanName,string,optional,Name of exhaust fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanNominalAirflow,ExhaustFanNominalAirflow,decimal,optional,Exhaust fan nominal airflow
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanSerialNumber,ExhaustFanSerialNumber,string,optional,Serial number of exhaust fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanTagNumber,ExhaustFanTagNumber,string,optional,Exhaust fan tag number
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanTurnoverDate,ExhaustFanTurnoverDate,dateTime,optional,Exhaust fan turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/FilterType,FilterType,string,optional,Filter type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/HumidificationMethod,HumidificationMethod,string,optional,Humidification method
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxCommissionDate,MixingBoxCommissionDate,dateTime,optional,Mixing box commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxDurationLifeYear,MixingBoxDurationLifeYear,integer,optional,Mixing box life span of component in years
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxEconomiser,MixingBoxEconomiser,string,optional,Mixing box economizer
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxExpectedEndOfLife,MixingBoxExpectedEndOfLife,dateTime,optional,Mixing box expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxExpectedReplacementCost,MixingBoxExpectedReplacementCost,decimal,optional,Mixing box expected replacement costs
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxInitialCost,MixingBoxInitialCost,decimal,optional,Mixing box initial cost
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxInstallationDate,MixingBoxInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxMaintenanceInterval,MixingBoxMaintenanceInterval,string,optional,"Mixing box maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxModelNumber,MixingBoxModelNumber,string,optional,Model number of mixing box
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxName,MixingBoxName,string,optional,Mixing box name of product
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxSerialNumber,MixingBoxSerialNumber,string,optional,Serial number of re heating
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxTagNumber,MixingBoxTagNumber,string,optional,Mixing box tag number
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxTurnoverDate,MixingBoxTurnoverDate,dateTime,optional,Mixing box turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/NetSensibleCoolingCapacity,NetSensibleCoolingCapacity,decimal,optional,Net sensible cooling capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/NominalCoolingCapacity,NominalCoolingCapacity,decimal,optional,Nominal cooling capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/NominalHeatingCapacity,NominalHeatingCapacity,decimal,optional,Nominal heating capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingCommissionDate,PreHeatingCommissionDate,dateTime,optional,Pre heating commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingDurationLifeYear,PreHeatingDurationLifeYear,integer,optional,Pre heating life span of component in years
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingExpectedEndOfLife,PreHeatingExpectedEndOfLife,dateTime,optional,Pre heating expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingExpectedReplacementCost,PreHeatingExpectedReplacementCost,decimal,optional,Pre heating expected replacement costs
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingInitialCost,PreHeatingInitialCost,decimal,optional,Pre heating initial cost
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingInstallationDate,PreHeatingInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingMaintenanceInterval,PreHeatingMaintenanceInterval,string,optional,"Pre heating maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingModelNumber,PreHeatingModelNumber,string,optional,Model number of pre heating
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingName,PreHeatingName,string,optional,Pre heating name of product
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingOutsideDiameter,PreHeatingOutsideDiameter,decimal,optional,Pre heating outside diameter
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingSerialNumber,PreHeatingSerialNumber,string,optional,Serial number of pre heating
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingTagNumber,PreHeatingTagNumber,string,optional,Pre heating tag number
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingTurnoverDate,PreHeatingTurnoverDate,dateTime,optional,Pre heating turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PreHeatingType,PreHeatingType,string,optional,Pre heating type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingCommissionDate,PrimaryCoolingCommissionDate,dateTime,optional,Primary cooling commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingDurationLifeYear,PrimaryCoolingDurationLifeYear,integer,optional,Primary cooling life span of component in years
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingExpectedEndOfLife,PrimaryCoolingExpectedEndOfLife,dateTime,optional,Primary cooling expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingExpectedReplacementCost,PrimaryCoolingExpectedReplacementCost,decimal,optional,Primary cooling expected replacement costs
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingInitialCost,PrimaryCoolingInitialCost,decimal,optional,Primary cooling initial cost
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingInstallationDate,PrimaryCoolingInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingMaintenanceInterval,PrimaryCoolingMaintenanceInterval,string,optional,"Primary cooling maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingMethodType,PrimaryCoolingMethodType,string,optional,Primary cooling method type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingMethodeRefrigerantType,PrimaryCoolingMethodeRefrigerantType,string,optional,Primary cooling refrigerant type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingModelNumber,PrimaryCoolingModelNumber,string,optional,Model number of primary cooling
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingName,PrimaryCoolingName,string,optional,Primary cooling name of product
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingOutsideDiameter,PrimaryCoolingOutsideDiameter,decimal,optional,Primary cooling outside diameter
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingSerialNumber,PrimaryCoolingSerialNumber,string,optional,Serial number of primary cooling
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingTagNumber,PrimaryCoolingTagNumber,string,optional,Primary cooling tag number
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/PrimaryCoolingTurnoverDate,PrimaryCoolingTurnoverDate,dateTime,optional,Primary cooling turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingCommissionDate,ReHeatingCommissionDate,dateTime,optional,Re heating commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingDurationLifeYear,ReHeatingDurationLifeYear,integer,optional,Re heating life span of component in years
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingExpectedEndOfLife,ReHeatingExpectedEndOfLife,dateTime,optional,Re heating expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingExpectedReplacementCost,ReHeatingExpectedReplacementCost,decimal,optional,Re heating expected replacement costs
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingInitialCost,ReHeatingInitialCost,decimal,optional,Re heating initial cost
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingInstallationDate,ReHeatingInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingMaintenanceInterval,ReHeatingMaintenanceInterval,string,optional,"Re heating maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingModelNumber,ReHeatingModelNumber,string,optional,Model number of re heating
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingName,ReHeatingName,string,optional,Re heating name of product
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingOutsideDiameter,ReHeatingOutsideDiameter,decimal,optional,Re heating outside diameter
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingSerialNumber,ReHeatingSerialNumber,string,optional,Serial number of re heating
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingTagNumber,ReHeatingTagNumber,string,optional,Re heating tag number
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingTurnoverDate,ReHeatingTurnoverDate,dateTime,optional,Re heating turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReHeatingType,ReHeatingType,string,optional,Re heating type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/RefrigerantType,RefrigerantType,string,optional,Refrigerant type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanCommissionDate,ReturnFanCommissionDate,dateTime,optional,Return fan commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanDriveType,ReturnFanDriveType,string,optional,Return fan fan drive type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanDurationLifeYear,ReturnFanDurationLifeYear,integer,optional,Return fan life span of component in years
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanExpectedEndOfLife,ReturnFanExpectedEndOfLife,dateTime,optional,Return fan expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanExpectedReplacementCost,ReturnFanExpectedReplacementCost,decimal,optional,Return fan expected replacement costs
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanInitialCost,ReturnFanInitialCost,decimal,optional,Return fan initial cost
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanInstallationDate,ReturnFanInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanMaintenanceInterval,ReturnFanMaintenanceInterval,string,optional,"Return fan maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanMaxAirflowRating,ReturnFanMaxAirflowRating,decimal,optional,Return fan max flow capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanMinAirflowRating,ReturnFanMinAirflowRating,decimal,optional,Return fan min flow capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanModelNumber,ReturnFanModelNumber,string,optional,Model number of return fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanMotorPower,ReturnFanMotorPower,decimal,optional,Return fan motor power
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanName,ReturnFanName,string,optional,Name of return fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanNominalAirflow,ReturnFanNominalAirflow,decimal,optional,Return fan nominal airflow
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanSerialNumber,ReturnFanSerialNumber,string,optional,Serial number of return fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanTagNumber,ReturnFanTagNumber,string,optional,Return fan tag number
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ReturnFanTurnoverDate,ReturnFanTurnoverDate,dateTime,optional,Return fan turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingCommissionDate,SecondaryCoolingCommissionDate,dateTime,optional,Secondary cooling commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingDurationLifeYear,SecondaryCoolingDurationLifeYear,integer,optional,Secondary cooling life span of component in years
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingExpectedEndOfLife,SecondaryCoolingExpectedEndOfLife,dateTime,optional,Secondary cooling expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingExpectedReplacementCost,SecondaryCoolingExpectedReplacementCost,decimal,optional,Secondary cooling expected replacement costs
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingInitialCost,SecondaryCoolingInitialCost,decimal,optional,Secondary cooling initial cost
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingInstallationDate,SecondaryCoolingInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingMaintenanceInterval,SecondaryCoolingMaintenanceInterval,string,optional,"Secondary cooling maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingMethodRefrigerantType,SecondaryCoolingMethodRefrigerantType,string,optional,Secondary cooling refrigerant type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingMethodType,SecondaryCoolingMethodType,string,optional,Secondary cooling method type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingModelNumber,SecondaryCoolingModelNumber,string,optional,Model number of secondary cooling
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingName,SecondaryCoolingName,string,optional,Secondary cooling name of product
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingOutsideDiameter,SecondaryCoolingOutsideDiameter,decimal,optional,Secondary cooling outside diameter
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingSerialNumber,SecondaryCoolingSerialNumber,string,optional,Serial number of secondary cooling
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingTagNumber,SecondaryCoolingTagNumber,string,optional,Secondary cooling tag number
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SecondaryCoolingTurnoverDate,SecondaryCoolingTurnoverDate,dateTime,optional,Secondary cooling turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanCommissionDate,SupplyFanCommissionDate,dateTime,optional,Supply fan commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanDriveType,SupplyFanDriveType,string,optional,Supply fan fan drive type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanDurationLifeYear,SupplyFanDurationLifeYear,integer,optional,Supply fan life span of component in years
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanExpectedEndOfLife,SupplyFanExpectedEndOfLife,dateTime,optional,Supply fan expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanExpectedReplacementCost,SupplyFanExpectedReplacementCost,decimal,optional,Supply fan expected replacement costs
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanInitialCost,SupplyFanInitialCost,decimal,optional,Supply fan initial cost
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanInstallationDate,SupplyFanInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanMaintenanceInterval,SupplyFanMaintenanceInterval,string,optional,"Supply fan maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanMaxAirflowRating,SupplyFanMaxAirflowRating,decimal,optional,Supply fan max flow capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanMinAirflowRating,SupplyFanMinAirflowRating,decimal,optional,Supply fan min flow capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanModelNumber,SupplyFanModelNumber,string,optional,Model number of supply fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanMotorPower,SupplyFanMotorPower,decimal,optional,Supply fan motor power
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanName,SupplyFanName,string,optional,Name of supply fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanNominalAirflow,SupplyFanNominalAirflow,decimal,optional,Supply fan nominal airflow
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanSerialNumber,SupplyFanSerialNumber,string,optional,Serial number of supply fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanTagNumber,SupplyFanTagNumber,string,optional,Supply fan tag number
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/SupplyFanTurnoverDate,SupplyFanTurnoverDate,dateTime,optional,Supply fan turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/Type,Type,string,optional,Air handling unit type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/VentilationConfiguration,VentilationConfiguration,string,optional,Ventilation configuration
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/VentilationStrategy,VentilationStrategy,string,optional,Ventilation strategy
ibpdi,digital-twin,AreaMeasurement,AreaMeasurement/Accuracy,Accuracy,string,optional,Accuracy of area measurement
ibpdi,digital-twin,AreaMeasurement,AreaMeasurement/AreaMeasurementId,AreaMeasurementId,string,optional,Customer ID from previous system  (ID before onboarding data to BM)
ibpdi,digital-twin,AreaMeasurement,AreaMeasurement/Standard,Standard,string,optional,Area measurement standard
ibpdi,digital-twin,AreaMeasurement,AreaMeasurement/Type,Type,string,optional,Type of the standard area
ibpdi,digital-twin,AreaMeasurement,AreaMeasurement/Unit,Unit,string,optional,Unit area is measured with
ibpdi,digital-twin,AreaMeasurementBuilding,AreaMeasurementBuilding/AreaMeasurementId,AreaMeasurementId,,optional,
